Time,Fx,Fy,Fz,Tx,Ty,Tz,
32.4,14.65532,10.19116,198.9585,3.231286,-19.17425,10.28393, 
32.5,16.14336,45.19693,214.8701,-1.103629,-19.5566,6.243895, 
32.6,-67.51292,67.45377,234.7685,-3.084364,-22.35147,5.16501, 
32.7,-109.5009,43.88095,227.0019,-1.001137,-27.45687,7.559197, 
32.8,-116.9989,13.16568,189.205,2.092473,-29.58519,16.89788, 
32.9,-56.61964,24.50239,195.017,1.63287,-23.35444,9.823767, 
33,-57.0653,15.67527,202.0715,2.214085,-22.90779,11.20766, 
33.1,-64.99896,1.881662,205.0063,4.627492,-24.27088,13.24465, 
33.2,-63.29009,14.39367,201.0748,2.551171,-23.23102,12.16456, 
33.3,-64.46664,15.33642,207.2795,2.064691,-21.9034,12.47306, 
33.4,-67.71771,8.167912,198.9228,3.766514,-24.4055,14.38304, 
33.5,-83.5828,15.15925,195.0374,3.019038,-25.48718,13.1146, 
33.6,-80.158,14.31039,197.9701,2.549898,-25.51406,12.57139, 
33.7,-57.01046,25.47017,205.6422,1.589664,-22.9667,10.48882, 
33.8,-119.6709,49.06499,281.8932,-0.384255,-22.31292,0.366988, 
33.9,-112.0506,87.96491,117.2516,46.71768,-83.59866,31.3138, 
34,141.382,16.24533,164.5486,59.2996,-49.95251,75.59811, 
34.1,-235.0835,-111.4516,135.1584,17.76821,-58.09489,65.99561, 
34.2,-65.10876,90.5014,136.706,-9.381086,-49.10416,-24.69679, 
34.3,-62.68599,21.76102,153.5001,-0.619366,-46.10884,8.158381, 
34.4,-131.0577,-59.35608,143.0874,13.64857,-60.16693,39.78412, 
34.5,-113.8634,-32.70661,161.0329,9.122055,-50.19674,22.80315, 
34.6,-112.8095,-45.22507,145.8106,6.661631,-59.22632,16.234, 
34.7,-136.9159,-52.5515,180.5339,12.08711,-43.30869,25.68878, 
34.8,-109.1672,11.96306,284.2749,0.517315,-34.27181,-3.392952, 
34.9,-49.0265,-54.27803,329.3073,8.741624,-7.433147,13.70404, 
35,-45.5587,-3.541888,280.7762,2.987507,-18.03312,9.644516, 
35.1,-67.74998,23.56593,250.2016,0.034057,-21.79789,5.35406, 
35.2,-98.86096,6.58715,242.6813,2.432297,-27.33179,8.870718, 
35.3,-107.5873,41.70494,222.5148,-0.649212,-30.07121,6.104318, 
35.4,-126.4692,78.23269,180.9197,-4.455139,-34.68074,3.116031, 
35.5,-7.99975,49.02514,272.0034,-1.061256,-14.69103,6.522094, 
35.6,-10.92941,8.600363,309.2964,4.96905,-12.70086,9.403659, 
35.7,-101.0191,14.62105,275.8332,5.881649,-24.71672,9.32182, 
35.8,-190.8371,8.6034,254.3898,6.564225,-35.20429,12.28301, 
35.9,-196.6342,22.28358,251.9001,6.494806,-32.37598,10.42647, 
36,-79.19744,13.45969,286.5256,7.45026,-18.80583,10.9349, 
36.1,-199.8134,9.438613,247.2397,7.02432,-34.85488,10.70967, 
36.2,-180.3176,1.563112,269.8742,4.703095,-31.38268,11.01119, 
36.3,-91.08793,0.0282125,300.4659,4.083873,-23.0158,8.642079, 
36.4,-56.2761,-1.993788,263.3876,4.346725,-27.839,9.421999, 
36.5,-63.94714,12.18316,249.9211,1.979667,-33.87971,8.159396, 
36.6,-107.4562,17.28726,250.2606,1.192242,-30.16896,7.983555, 
