,Fx,Fy,Fz,Tx,Ty,Tz
23.6,-36.62154,-8.821962,12.78805,3.733173,-34.14093,0.664217
23.7,-49.4747,-6.28805,5.504025,3.631867,-34.49461,0.330329
23.8,-59.08702,8.997562,18.46806,3.701917,-30.25261,1.753693
23.9,-95.5921,-5.359925,12.38716,3.358905,-35.13702,1.102265
24,-103.0133,75.7596,34.31291,-3.417409,-27.18138,1.667397
24.1,-44.11291,-7.553125,-17.25455,3.287127,-33.51176,4.105225
24.2,-38.02737,-14.36172,-36.20701,2.219029,-41.18402,1.960585
24.3,-43.66491,-14.22255,28.74639,3.83158,-26.7788,3.66488
24.4,-34.17069,-19.03601,29.98119,3.854809,-25.95411,3.947843
24.5,-27.36531,-21.62276,17.8237,4.016291,-27.67666,3.814685
24.6,-26.62137,-20.46112,34.93275,3.856595,-25.24605,3.774899
24.7,-27.44324,-20.23115,31.98302,3.733332,-25.49676,2.386468
24.8,-30.02939,-20.3428,27.97701,3.920878,-26.65748,3.415248
24.9,-32.44707,-17.12111,27.37412,3.542447,-27.09735,2.828467
25,-36.39238,-16.64486,26.73638,3.442508,-29.14167,1.931569
25.1,-35.40358,-18.1607,24.32453,3.70535,-28.82,3.537926
25.2,-0.705625,-13.67801,77.7527,2.573881,-16.40632,-5.170243
25.3,12.26705,-51.48898,52.45854,6.213679,-14.77119,3.416017
25.4,-29.31609,-30.37335,39.7983,5.478788,-30.80286,5.200261
25.5,8.7676,-30.01267,24.22702,7.759742,-30.43653,-6.130094
25.6,-28.50752,17.74699,8.187575,-0.398137,-34.15673,-2.744877
25.7,-41.13955,2.846462,16.27378,2.206871,-32.76704,-0.890241
25.8,-47.70179,-13.37074,21.37661,3.512763,-32.24355,3.864683
25.9,-37.72329,-10.06194,13.93951,3.053153,-31.64713,2.651521
26,-39.69914,-9.051525,18.04024,3.376749,-32.4945,1.750055
26.1,-44.01847,-15.92341,16.43549,4.548168,-33.25645,3.107562
26.2,-39.90336,-10.32302,17.02331,3.54538,-32.79925,1.851244
26.3,-40.9613,-13.7855,17.87367,3.709948,-32.58844,2.643708
26.4,-37.37116,-12.6352,14.68181,3.667151,-32.78069,2.531877
26.5,-41.7501,-15.09426,19.49433,3.772203,-31.61443,3.913025
26.6,-38.4822,-17.07644,30.8987,4.088855,-28.24235,3.897298
26.7,-49.75541,-16.6686,27.33734,4.225126,-28.36492,2.474902
