Time,Fx,Fy,Fz,Tx,Ty,Tz
18.6,-42.9678,33.38819,149.2384,-0.044886,-28.60766,8.277256
18.7,-43.49304,25.38028,124.8737,1.056562,-28.46607,9.950302
18.8,-35.31074,16.31008,126.7724,3.051495,-29.18074,8.789186
18.9,-59.15773,11.93115,217.0352,3.890132,-23.65085,9.894013
19,-89.7938,-3.647125,285.9385,6.176507,-24.48082,9.069538
19.1,-88.67,1.184963,289.0951,5.68006,-21.31747,9.421907
19.2,-67.919,18.47643,251.0603,3.74608,-23.86562,8.530626
19.3,-45.06211,13.91226,207.4862,4.02163,-23.06099,9.209095
19.4,-47.87116,7.387312,209.2381,4.542373,-22.33462,11.29725
19.5,-58.60249,15.66375,201.9037,4.197749,-23.77814,8.012148
19.6,-58.20909,15.18476,200.8205,4.269607,-25.09957,9.317576
19.7,-59.66955,13.76761,201.7288,3.676522,-24.88703,10.02765
19.8,-63.53812,15.803,208.7407,3.388747,-25.09796,9.359043
19.9,-62.37228,13.53584,201.9232,3.10394,-24.37893,9.689622
20,-60.4,15.09044,201.2256,2.589267,-24.72782,9.731028
20.1,-58.63749,17.70541,208.5618,2.809067,-24.68272,10.00722
20.2,-60.2389,13.69545,208.5148,2.864507,-23.54719,9.966654
20.3,-62.74564,20.52872,205.7124,2.480608,-24.70344,10.1564
20.4,-61.7427,12.33393,205.1478,3.260993,-23.86802,11.04404
20.5,-67.24521,15.03057,204.8149,2.58582,-24.4627,10.66255
20.6,-63.62748,12.46755,204.0855,2.56415,-23.51689,9.938101
20.7,-67.05514,10.41397,206.321,2.954191,-24.72498,11.89318
20.8,-62.80866,7.547263,204.2068,3.602166,-25.96217,12.60583
20.9,24.00463,3.093488,167.3785,2.559852,-25.24789,11.19119
21,2.341525,33.15723,198.9471,7.689646,-19.47573,-1.892373
21.1,-18.56096,-181.0062,217.7728,76.10457,-13.90223,70.23473
21.2,-87.00229,26.41438,117.5322,0.464471,-60.91289,13.37731
21.3,-3.133413,53.34904,167.4546,1.175566,-30.56191,16.85731
21.4,-62.37686,-32.85116,144.9727,8.867123,-45.98042,30.62402
21.5,-56.0797,2.632663,178.4519,3.887902,-38.17204,17.88083
21.6,-109.9369,-10.9046,169.666,4.831942,-45.73213,18.78632
21.7,-113.086,-28.52185,196.1561,6.525769,-43.47984,22.85528
